region_name,sport,total_medals
Afghanistan,Taekwondo,2
Algeria,Athletics,9
Argentina,Hockey,81
Armenia,Wrestling,8
Australia,Swimming,412
Austria,Alpine Skiing,114
Azerbaijan,Wrestling,23
Bahamas,Athletics,36
Bahrain,Athletics,3
Barbados,Athletics,1
Belarus,Canoeing,22
Belgium,Water Polo,54
Bermuda,Boxing,1
Botswana,Athletics,1
Brazil,Football,136
Bulgaria,Wrestling,69
Burundi,Athletics,2
Cameroon,Football,18
Canada,Ice Hockey,348
Chile,Football,17
China,Gymnastics,109
Colombia,Cycling,6
Costa Rica,Swimming,4
Croatia,Handball,46
Cuba,Baseball,112
Curacao,Sailing,1
Cyprus,Sailing,1
Czech Republic,Ice Hockey,184
Denmark,Gymnastics,111
Djibouti,Athletics,1
Dominican Republic,Athletics,3
Ecuador,Athletics,2
Egypt,Weightlifting,11
Eritrea,Athletics,1
Estonia,Wrestling,11
Ethiopia,Athletics,53
Fiji,Rugby Sevens,13
Finland,Ice Hockey,174
France,Fencing,310
Gabon,Taekwondo,1
Georgia,Wrestling,18
Germany,Rowing,471
Ghana,Football,20
Greece,Rowing,55
Grenada,Athletics,2
Guatemala,Athletics,1
Guyana,Boxing,1
Haiti,Shooting,5
Hungary,Fencing,236
Iceland,Handball,14
India,Hockey,173
Individual Olympic Athletes,Shooting,5
Indonesia,Badminton,28
Iran,Wrestling,43
Iraq,Weightlifting,1
Ireland,Boxing,16
Israel,Judo,5
Italy,Fencing,359
Ivory Coast,Taekwondo,2
Jamaica,Athletics,156
Japan,Gymnastics,166
Jordan,Taekwondo,1
Kazakhstan,Boxing,22
Kenya,Athletics,99
Kosovo,Judo,1
Kuwait,Shooting,2
Kyrgyzstan,Wrestling,2
Latvia,Luge,9
Lebanon,Wrestling,3
Liechtenstein,Alpine Skiing,9
Lithuania,Basketball,35
Luxembourg,Art Competitions,3
Macedonia,Wrestling,1
Malaysia,Badminton,12
Mauritius,Boxing,1
Mexico,Diving,17
Moldova,Boxing,2
Monaco,Art Competitions,1
Mongolia,Wrestling,9
Montenegro,Handball,14
Morocco,Athletics,19
Mozambique,Athletics,2
Namibia,Athletics,4
Nepal,Alpinism,1
Netherlands,Hockey,255
New Zealand,Rowing,69
Niger,Boxing,1
Nigeria,Football,50
North Korea,Weightlifting,17
Norway,Cross Country Skiing,164
Pakistan,Hockey,119
Panama,Athletics,3
Paraguay,Football,17
Peru,Volleyball,12
Philippines,Boxing,5
Poland,Fencing,82
Portugal,Athletics,10
Puerto Rico,Boxing,6
Qatar,Athletics,3
Romania,Rowing,175
Russia,Gymnastics,399
Saudi Arabia,Equestrianism,5
Senegal,Athletics,1
Serbia,Water Polo,140
Slovakia,Canoeing,32
Slovenia,Rowing,12
South Africa,Athletics,31
South Korea,Handball,96
Spain,Hockey,77
Sri Lanka,Athletics,2
Sudan,Athletics,1
Suriname,Swimming,2
Sweden,Ice Hockey,217
Switzerland,Bobsleigh,92
Syria,Boxing,2
Taiwan,Baseball,20
Tajikistan,Athletics,1
Tanzania,Athletics,2
Thailand,Boxing,14
Togo,Canoeing,1
Tonga,Boxing,1
Trinidad,Athletics,33
Tunisia,Athletics,5
Turkey,Wrestling,63
UK,Athletics,338
USA,Athletics,1080
Uganda,Boxing,4
Ukraine,Gymnastics,23
United Arab Emirates,Judo,1
Uruguay,Football,31
Uzbekistan,Boxing,14
Venezuela,Boxing,6
Vietnam,Shooting,2
"Virgin Islands, US",Sailing,1
Zambia,Athletics,1
Zimbabwe,Hockey,15
